s_m,longitude,latitude,x_local_m,y_local_m,elevation_m,slope_deg,valley_width_m
12200.000000,85.570450,28.321667,18888.143046,4636.784533,4247.966261,3.652249,468.739760
12300.000000,85.569430,28.321667,18788.143046,4636.784533,4241.802994,4.101139,459.063453
12400.000000,85.568665,28.321165,18713.091741,4581.311945,4233.626085,5.200654,451.765615
12500.000000,85.567813,28.320833,18629.572348,4544.667867,4223.599268,6.082960,446.059966
12600.000000,85.567031,28.320364,18552.899750,4492.800170,4212.312411,6.615390,441.282611
12700.000000,85.566354,28.319687,18486.548239,4417.983882,4200.404036,6.872069,437.749678
12800.000000,85.565677,28.319010,18420.196728,4343.167594,4188.208671,7.020495,437.775787
12900.000000,85.565000,28.318334,18353.845216,4268.351306,4175.774500,7.264396,446.211024
13000.000000,85.564043,28.318210,18260.004737,4254.655818,4162.714392,7.596671,470.048465
13100.000000,85.563366,28.317533,18193.653226,4179.839530,4149.100632,7.811761,516.504861
13200.000000,85.562409,28.317409,18099.812746,4166.144043,4135.275974,7.840601,589.626228
13300.000000,85.561732,28.316732,18033.461235,4091.327754,4121.559643,7.850814,686.630876
13400.000000,85.561055,28.316055,17967.109724,4016.511466,4107.698656,7.929667,796.108148
13500.000000,85.560148,28.315833,17878.148163,3991.967867,4093.701792,7.904016,899.872144
13600.000000,85.559128,28.315833,17778.148163,3991.967867,4079.932074,7.763052,978.384450
13700.000000,85.558184,28.315684,17685.588285,3975.425004,4066.436582,7.591757,1017.446111
13800.000000,85.557507,28.315007,17619.236774,3900.608716,4053.275663,7.341047,1012.862305
13900.000000,85.556490,28.315000,17519.577465,3899.851200,4040.670345,7.190924,970.931857
14000.000000,85.555470,28.315000,17419.577465,3899.851200,4028.041974,7.126560,904.986021
14100.000000,85.554450,28.315000,17319.577465,3899.851200,4015.664871,7.004192,830.171897
14200.000000,85.553430,28.315000,17219.577465,3899.851200,4003.470209,6.920555,759.055091
14300.000000,85.552410,28.315000,17119.577465,3899.851200,3991.389408,6.771962,699.511400
14400.000000,85.551390,28.315000,17019.577465,3899.851200,3979.720911,6.358455,654.813923
14500.000000,85.550370,28.315000,16919.577465,3899.851200,3969.102645,5.797009,624.826945
14600.000000,85.549350,28.315000,16819.577465,3899.851200,3959.416201,5.192275,607.262498
